Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2025-12-17T07:59:09.016Z","Included","auto","No","0","6373","47360","1194","54927","0.03"
"2025-12-17T07:57:58.391Z","Included","auto","No","0","146","9728","1183","11057","0.01"
"2025-12-17T07:49:54.494Z","Included","auto","No","0","18922","95360","1818","116100","0.06"
"2025-12-17T07:37:28.364Z","Included","auto","No","0","16801","136320","2011","155132","0.07"
"2025-12-17T07:28:30.651Z","Included","auto","No","0","7402","49664","308","57374","0.02"
"2025-12-17T07:27:19.099Z","Included","auto","No","0","7819","62592","3354","73765","0.05"
"2025-12-17T07:19:17.459Z","Included","auto","No","19163","812","290835","4784","315594","0.13"
"2025-12-17T07:15:12.215Z","Included","auto","No","13368","802","90878","1847","106895","0.05"
"2025-12-17T07:09:02.665Z","Included","auto","No","0","21703","132864","450","155017","0.06"
"2025-12-17T07:06:17.283Z","Included","auto","No","0","82569","201344","1984","285897","0.17"
"2025-12-17T07:03:57.403Z","Included","auto","No","0","59734","104064","2362","166160","0.11"
"2025-12-17T06:57:06.625Z","Included","auto","No","0","74678","392960","4011","471649","0.22"
"2025-12-17T06:49:43.826Z","Included","auto","No","0","2745","358400","1606","362751","0.10"
"2025-12-17T06:43:22.874Z","Included","auto","No","0","13441","375680","468","389589","0.11"
"2025-12-17T06:40:19.643Z","Included","auto","No","0","206623","472576","2869","682068","0.39"
"2025-12-17T06:35:23.971Z","Included","auto","No","13127","0","351744","2090","366961","0.12"
"2025-12-17T06:28:15.754Z","Included","auto","No","16423","0","620032","7006","643461","0.22"
"2025-12-17T06:27:17.858Z","Included","auto","No","537","0","54272","2613","57422","0.03"
"2025-12-17T06:19:24.715Z","Included","auto","No","3573","0","156672","578","160823","0.05"
"2025-12-17T06:13:51.881Z","Included","auto","No","46346","0","192512","3798","242656","0.13"
"2025-12-17T03:07:32.535Z","Included","auto","No","36445","1767","260870","9266","308348","0.17"
"2025-12-17T02:45:32.981Z","Included","auto","No","7312","851","272653","2174","282990","0.09"
"2025-12-17T02:41:46.853Z","Included","auto","No","21921","911","551587","11207","585626","0.23"
"2025-12-17T02:40:28.733Z","Included","auto","No","69595","911","74445","653","145604","0.11"
"2025-12-17T02:25:16.912Z","Included","auto","No","61006","1085","502667","13024","577782","0.28"
"2025-12-17T01:53:48.738Z","Included","auto","No","30805","0","459776","2010","492591","0.17"
"2025-12-17T01:40:28.145Z","Included","auto","No","52451","0","843264","7321","903036","0.32"
"2025-12-17T01:21:22.691Z","Included","auto","No","49596","0","197632","1811","249039","0.12"
"2025-12-16T13:01:31.336Z","Included","auto","No","0","33208","285312","5673","324193","0.15"
"2025-12-16T12:56:38.871Z","Included","auto","No","0","13942","105984","2674","122600","0.06"
"2025-12-16T12:41:30.071Z","Included","auto","No","0","25277","227968","4122","257367","0.11"
"2025-12-16T12:29:33.079Z","Included","auto","No","0","54126","734336","8842","797304","0.30"
"2025-12-16T12:10:24.746Z","Included","auto","No","71495","0","293376","5877","370748","0.20"
"2025-12-16T12:07:44.182Z","Included","auto","No","0","21250","106880","4210","132340","0.08"
"2025-12-16T11:58:35.299Z","Included","auto","No","0","14240","313600","5305","333145","0.13"
"2025-12-16T11:49:16.200Z","Included","auto","No","0","3017","268928","5381","277326","0.10"
"2025-12-16T11:47:44.215Z","Included","auto","No","0","0","0","0","0","0.00"
"2025-12-16T11:25:49.162Z","Included","auto","No","0","31123","91136","4353","126612","0.09"
"2025-12-16T11:24:23.435Z","Included","auto","No","0","26146","12288","1143","39577","0.04"
"2025-12-16T10:44:26.687Z","Included","auto","No","0","40918","396160","2198","439276","0.16"
"2025-12-16T10:30:24.226Z","Included","auto","No","0","50280","554624","3388","608292","0.22"
"2025-12-16T10:14:27.617Z","Included","auto","No","0","11814","129536","1818","143168","0.06"
"2025-12-16T10:05:17.630Z","Included","auto","No","0","3919","115200","1936","121055","0.05"
"2025-12-16T10:02:22.771Z","Included","auto","No","0","32558","77184","2596","112338","0.08"
"2025-12-16T09:58:20.542Z","Included","auto","No","0","9186","108672","4804","122662","0.07"
"2025-12-16T09:23:33.853Z","Included","auto","No","0","2303","9472","594","12369","0.01"
"2025-12-16T09:17:38.222Z","Included","auto","No","131191","0","274128","2998","408317","0.25"
"2025-12-16T09:04:03.818Z","Included","auto","No","124383","0","590364","6056","720803","0.34"
"2025-12-16T08:04:48.895Z","Included","auto","No","96033","0","1161836","19681","1277550","0.53"
"2025-12-16T07:59:38.374Z","Included","auto","No","0","22464","130304","1707","154475","0.07"
"2025-12-16T07:28:19.152Z","Included","auto","No","0","15594","11648","1867","29109","0.03"
"2025-12-16T07:24:57.690Z","Included","auto","No","0","26212","241280","996","268488","0.10"
"2025-12-16T06:44:48.104Z","Included","auto","No","7986","0","177152","781","185919","0.06"
"2025-12-16T06:42:19.011Z","Included","auto","No","12487","0","144384","2188","159059","0.06"
"2025-12-16T06:38:36.945Z","Included","auto","No","24955","0","163840","1515","190310","0.08"
"2025-12-16T06:31:18.044Z","Included","auto","No","6754","0","295424","2733","304911","0.10"
"2025-12-16T06:25:36.576Z","Included","auto","No","12574","0","820736","3675","836985","0.24"
"2025-12-16T06:20:09.395Z","Included","auto","No","58868","0","229376","7908","296152","0.18"
"2025-12-16T05:59:40.257Z","Included","auto","No","24673","0","332288","11205","368166","0.18"
"2025-12-16T05:58:01.119Z","Included","auto","No","259","0","23552","0","23811","0.01"
"2025-12-16T05:57:14.276Z","Included","auto","No","17935","0","5632","0","23567","0.02"
"2025-12-16T05:09:02.260Z","Included","auto","No","18205","0","76288","5878","100371","0.08"
"2025-12-16T04:02:39.154Z","Included","auto","No","14916","0","378880","7319","401115","0.16"
"2025-12-16T04:00:02.777Z","Included","auto","No","13006","0","31232","2521","46759","0.04"
"2025-12-16T03:51:26.571Z","Included","auto","No","72828","0","801145","5840","879813","0.33"
"2025-12-16T03:35:25.467Z","Included","auto","No","44641","0","449290","10281","504212","0.23"
"2025-12-16T02:51:21.170Z","Included","auto","No","0","3528","88832","562","92922","0.03"
"2025-12-16T02:50:21.779Z","Included","auto","No","0","10487","33280","856","44623","0.03"
"2025-12-16T02:44:34.466Z","Included","auto","No","0","33811","166400","1801","202012","0.09"
"2025-12-16T02:43:20.580Z","Included","auto","No","18833","0","356864","5437","381134","0.15"
"2025-12-16T02:31:09.667Z","Included","auto","No","8357","0","291328","2169","301854","0.10"
"2025-12-16T02:29:36.444Z","Included","auto","No","12913","0","241152","1466","255531","0.09"
"2025-12-16T02:26:46.427Z","Included","auto","No","14940","0","262656","5825","283421","0.12"
"2025-12-16T02:22:39.862Z","Included","auto","No","27103","0","91648","868","119619","0.06"
"2025-12-15T13:37:39.629Z","Included","claude-4.5-opus-high-thinking","No","17101","547","215818","9235","242701","0.45"
"2025-12-15T13:32:10.742Z","Included","claude-4.5-opus-high-thinking","No","11222","168","139327","6891","157608","0.31"
"2025-12-15T13:29:17.391Z","Included","claude-4.5-opus-high-thinking","No","12411","20","41472","1790","55693","0.14"
"2025-12-15T13:21:47.609Z","Included","claude-4.5-sonnet-thinking","No","23004","559","135314","2664","161541","0.17"
"2025-12-15T13:15:10.938Z","Included","claude-4.5-sonnet-thinking","No","20478","598","101423","4271","126770","0.17"
"2025-12-15T13:05:08.403Z","Included","claude-4.5-sonnet-thinking","No","16128","608","221376","5005","243117","0.20"
"2025-12-15T12:51:43.914Z","Included","claude-4.5-sonnet-thinking","No","25013","588","150547","1757","177905","0.17"
"2025-12-15T12:42:11.959Z","Included","claude-4.5-sonnet-thinking","No","25255","607","175178","3401","204441","0.20"
"2025-12-15T12:33:53.648Z","Included","claude-4.5-sonnet-thinking","No","99126","616","1411657","18057","1529456","1.07"
"2025-12-15T12:24:52.323Z","Included","claude-4.5-sonnet-thinking","No","77216","628","1615162","28014","1721020","1.20"
"2025-12-15T12:07:20.933Z","Included","claude-4.5-sonnet-thinking","No","41184","568","590468","21749","653969","0.66"
"2025-12-15T09:15:55.725Z","Included","claude-4.5-sonnet-thinking","No","28766","487","287046","6151","322450","0.29"
"2025-12-15T09:13:45.676Z","Included","claude-4.5-opus-high-thinking","No","22504","38","130964","2992","156498","0.28"
"2025-12-15T09:12:37.437Z","Included","claude-4.5-sonnet-thinking","No","700","374","11139","0","12213","0.01"
"2025-12-15T08:48:41.941Z","Included","claude-4.5-sonnet-thinking","No","72249","646","108509","15380","196784","0.54"
"2025-12-15T08:33:15.700Z","Included","claude-4.5-sonnet-thinking","No","169390","813","395624","25058","590885","1.13"
"2025-12-15T08:15:48.940Z","Included","auto","No","0","93313","173056","1462","267831","0.17"
"2025-12-15T08:10:07.476Z","Included","auto","No","0","52869","239616","18013","310498","0.23"
"2025-12-15T07:52:23.164Z","Included","claude-4.5-opus-high-thinking","No","85657","650","336677","4125","427109","0.81"
"2025-12-15T07:45:59.670Z","Included","claude-4.5-opus-high-thinking","No","63641","1185","966214","9494","1040534","1.12"
"2025-12-15T07:36:30.182Z","Included","claude-4.5-opus-high-thinking","No","82052","142","280447","7505","370146","0.84"
"2025-12-15T07:28:28.180Z","Included","claude-4.5-opus-high-thinking","No","11474","627","83764","580","96445","0.13"
"2025-12-15T07:26:14.349Z","Included","claude-4.5-opus-high-thinking","No","4696","618","163853","2542","171709","0.18"
"2025-12-15T07:21:44.849Z","Included","claude-4.5-opus-high-thinking","No","27813","83","112957","4416","145269","0.34"
"2025-12-15T06:27:30.366Z","Included","auto","No","0","16351","27264","262","43877","0.03"
"2025-12-15T03:45:51.496Z","Included","auto","No","34864","0","169472","1795","206131","0.10"
"2025-12-15T03:26:24.245Z","Included","auto","No","61903","0","910336","13479","985718","0.39"
"2025-12-15T03:16:15.736Z","Included","auto","No","59792","0","567808","8156","635756","0.27"
"2025-12-15T03:00:05.544Z","Included","auto","No","143732","0","1317888","11403","1473023","0.58"
"2025-12-15T02:58:53.412Z","Included","auto","No","0","0","0","0","0","0.00"
"2025-12-15T02:37:08.356Z","Included","auto","No","101525","0","461312","8055","570892","0.29"
"2025-12-15T02:22:16.468Z","Included","auto","No","117479","0","2068992","14389","2200860","0.75"
"2025-12-15T02:18:04.742Z","Included","auto","No","23740","0","502784","814","527338","0.16"
"2025-12-15T02:12:41.119Z","Included","auto","No","11815","0","934400","2391","948606","0.26"
"2025-12-15T02:04:04.485Z","Included","auto","No","12311","0","529408","1477","543196","0.16"
"2025-12-15T01:57:07.698Z","Included","auto","No","52391","0","430080","2417","484888","0.19"
"2025-12-15T01:47:14.909Z","Included","auto","No","54396","0","1334272","8402","1397070","0.45"
"2025-12-15T01:40:24.389Z","Included","auto","No","32901","0","65024","1791","99716","0.07"
"2025-12-14T08:00:28.183Z","Included","auto","No","49266","0","402944","12787","464997","0.24"
"2025-12-14T07:48:17.682Z","Included","auto","No","22295","0","492176","6525","520996","0.19"
"2025-12-14T07:42:17.065Z","Included","auto","No","44531","0","524644","7166","576341","0.23"
"2025-12-14T07:36:25.319Z","Included","auto","No","3076","0","250880","924","254880","0.07"
"2025-12-14T07:34:03.815Z","Included","auto","No","2797","0","245248","664","248709","0.07"
"2025-12-14T07:30:01.557Z","Included","auto","No","15757","0","298496","2630","316883","0.11"
"2025-12-14T07:11:51.585Z","Included","auto","No","69545","0","262656","4683","336884","0.18"
"2025-12-14T07:09:10.971Z","Included","auto","No","67500","0","129536","3760","200796","0.14"
"2025-12-14T07:02:00.134Z","Included","claude-4.5-opus-high-thinking","No","73076","68","178936","1478","253558","0.58"
"2025-12-12T08:54:58.869Z","Included","auto","No","0","21345","578176","1499","601020","0.18"
"2025-12-12T08:43:53.591Z","Included","auto","No","0","12474","326784","4035","343293","0.12"
"2025-12-12T08:42:33.557Z","Included","auto","No","0","14600","97792","1237","113629","0.05"
